code,description,sex,diagnosis_count
A00,Cholera,Male,9.0
A01,Typhoid and paratyphoid fevers,Male,552.0
A02,Other salmonella infections,Male,1014.0
A03,Shigellosis,Male,424.0
A04,Other bacterial intestinal infections,Male,13214.0
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Male,360.0
A06,Amoebiasis,Male,47.0
A07,Other protozoal intestinal diseases,Male,281.0
A08,Viral and other specified intestinal infections,Male,14013.0
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Male,57354.0
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Male,1769.0
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Male,960.0
A17,Tuberculosis of nervous system,Male,222.0
A18,Tuberculosis of other organs,Male,597.0
A19,Miliary tuberculosis,Male,376.0
A21,Tularaemia,Male,3.0
A22,Anthrax,Male,2.0
A23,Brucellosis,Male,11.0
A24,Glanders and melioidosis,Male,6.0
A25,Rat-bite fevers,Male,3.0
A26,Erysipeloid,Male,11.0
A27,Leptospirosis,Male,140.0
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Male,22.0
A30,Leprosy [Hansen disease],Male,4.0
A31,Infection due to other mycobacteria,Male,464.0
A32,Listeriosis,Male,140.0
A35,Other tetanus,Male,16.0
A36,Diphtheria,Male,19.0
A37,Whooping cough,Male,255.0
A38,Scarlet fever,Male,720.0
A39,Meningococcal infection,Male,390.0
A40,Streptococcal sepsis,Male,6107.0
A41,Other sepsis,Male,124333.0
A42,Actinomycosis,Male,33.0
A43,Nocardiosis,Male,23.0
A44,Bartonellosis,Male,1.0
A46,Erysipelas,Male,137.0
A48,"Other bacterial diseases, not elsewhere classified",Male,679.0
A49,Bacterial infection of unspecified site,Male,11083.0
A50,Congenital syphilis,Male,7.0
A51,Early syphilis,Male,100.0
A52,Late syphilis,Male,331.0
A53,Other and unspecified syphilis,Male,95.0
A54,Gonococcal infection,Male,125.0
A55,Chlamydial lymphogranuloma (venereum),Male,15.0
A56,Other sexually transmitted chlamydial diseases,Male,18.0
A57,Chancroid,Male,1.0
A59,Trichomoniasis,Male,0.0
A60,Anogenital herpesviral [herpes simplex] infection,Male,35.0
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",Male,643.0
A64,Unspecified sexually transmitted disease,Male,18.0
A65,Nonvenereal syphilis,Male,0.0
A66,Yaws,Male,4.0
A68,Relapsing fevers,Male,11.0
A69,Other spirochaetal infections,Male,329.0
A70,Chlamydia psittaci infection,Male,6.0
A74,Other diseases caused by chlamydiae,Male,12.0
A75,Typhus fever,Male,14.0
A77,Spotted fever [tick-borne rickettsioses],Male,3.0
A78,Q fever,Male,11.0
A79,Other rickettsioses,Male,6.0
A80,Acute poliomyelitis,Male,3.0
A81,Atypical virus infections of central nervous system,Male,122.0
A82,Rabies,Male,2.0
A83,Mosquito-borne viral encephalitis,Male,6.0
A84,Tick-borne viral encephalitis,Male,12.0
A85,"Other viral encephalitis, not elsewhere classified",Male,78.0
A86,Unspecified viral encephalitis,Male,654.0
A87,Viral meningitis,Male,1797.0
A88,"Other viral infections of central nervous system, not elsewhere classified",Male,31.0
A89,Unspecified viral infection of central nervous system,Male,33.0
A92,Other mosquito-borne viral fevers,Male,15.0
A93,"Other arthropod-borne viral fevers, not elsewhere classified",Male,3.0
A94,Unspecified arthropod-borne viral fever,Male,3.0
A95,Yellow fever,Male,0.0
A97,Dengue,Male,240.0
A98,"Other viral haemorrhagic fevers, not elsewhere classified",Male,1.0
A99,Unspecified viral haemorrhagic fever,Male,5.0
B00,Herpesviral [herpes simplex] infections,Male,2222.0
B01,Varicella [chickenpox],Male,2003.0
B02,Zoster [herpes zoster],Male,2317.0
B04,Monkeypox,Male,17.0
B05,Measles,Male,281.0
B06,Rubella [German measles],Male,1.0
B07,Viral warts,Male,1628.0
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Male,939.0
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Male,611.0
B15,Acute hepatitis A,Male,375.0
B16,Acute hepatitis B,Male,170.0
B17,Other acute viral hepatitis,Male,1207.0
B18,Chronic viral hepatitis,Male,355.0
B19,Unspecified viral hepatitis,Male,182.0
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Male,936.0
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Male,368.0
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Male,110.0
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Male,301.0
B24,Unspecified human immunodeficiency virus [HIV] disease,Male,329.0
B25,Cytomegaloviral disease,Male,423.0
B26,Mumps,Male,112.0
B27,Infectious mononucleosis,Male,2424.0
B30,Viral conjunctivitis,Male,81.0
B33,"Other viral diseases, not elsewhere classified",Male,106.0
B34,Viral infection of unspecified site,Male,50357.0
B35,Dermatophytosis,Male,445.0
B36,Other superficial mycoses,Male,142.0
B37,Candidiasis,Male,3386.0
B38,Coccidioidomycosis,Male,3.0
B39,Histoplasmosis,Male,24.0
B41,Paracoccidioidomycosis,Male,2.0
B42,Sporotrichosis,Male,1.0
B43,Chromomycosis and phaeomycotic abscess,Male,6.0
B44,Aspergillosis,Male,967.0
B45,Cryptococcosis,Male,96.0
B46,Zygomycosis,Male,11.0
B47,Mycetoma,Male,18.0
B48,"Other mycoses, not elsewhere classified",Male,7.0
B49,Unspecified mycosis,Male,261.0
B50,Plasmodium falciparum malaria,Male,1424.0
B51,Plasmodium vivax malaria,Male,112.0
B52,Plasmodium malariae malaria,Male,24.0
B53,Other parasitologically confirmed malaria,Male,83.0
B54,Unspecified malaria,Male,243.0
B55,Leishmaniasis,Male,117.0
B56,African trypanosomiasis,Male,0.0
B58,Toxoplasmosis,Male,32.0
B59,Pneumocystosis,Male,681.0
B60,"Other protozoal diseases, not elsewhere classified",Male,21.0
B65,Schistosomiasis [bilharziasis],Male,63.0
B66,Other fluke infections,Male,1.0
B67,Echinococcosis,Male,86.0
B68,Taeniasis,Male,4.0
B69,Cysticercosis,Male,16.0
B70,Diphyllobothriasis and sparganosis,Male,1.0
B71,Other cestode infections,Male,2.0
B73,Onchocerciasis,Male,1.0
B74,Filariasis,Male,3.0
B76,Hookworm diseases,Male,6.0
B77,Ascariasis,Male,0.0
B78,Strongyloidiasis,Male,8.0
B79,Trichuriasis,Male,2.0
B80,Enterobiasis,Male,149.0
B81,"Other intestinal helminthiases, not elsewhere classified",Male,0.0
B82,Unspecified intestinal parasitism,Male,34.0
B83,Other helminthiases,Male,18.0
B85,Pediculosis and phthiriasis,Male,7.0
B86,Scabies,Male,309.0
B87,Myiasis,Male,31.0
B88,Other infestations,Male,20.0
B89,Unspecified parasitic disease,Male,5.0
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Male,3.0
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,Male,0.0
B97,Viral agents as the cause of diseases classified to other chapters,Male,3.0
B99,Other and unspecified infectious diseases,Male,10651.0
C00,Malignant neoplasm of lip,Male,237.0
C01,Malignant neoplasm of base of tongue,Male,4540.0
C02,Malignant neoplasm of other and unspecified parts of tongue,Male,2617.0
C03,Malignant neoplasm of gum,Male,487.0
C04,Malignant neoplasm of floor of mouth,Male,708.0
C05,Malignant neoplasm of palate,Male,553.0
C06,Malignant neoplasm of other and unspecified parts of mouth,Male,885.0
C07,Malignant neoplasm of parotid gland,Male,769.0
C08,Malignant neoplasm of other and unspecified major salivary glands,Male,175.0
C09,Malignant neoplasm of tonsil,Male,5216.0
C10,Malignant neoplasm of oropharynx,Male,1944.0
C11,Malignant neoplasm of nasopharynx,Male,1235.0
C12,Malignant neoplasm of piriform sinus,Male,663.0
C13,Malignant neoplasm of hypopharynx,Male,1241.0
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Male,462.0
C15,Malignant neoplasm of oesophagus,Male,34639.0
C16,Malignant neoplasm of stomach,Male,19873.0
C17,Malignant neoplasm of small intestine,Male,3712.0
C18,Malignant neoplasm of colon,Male,61885.0
C19,Malignant neoplasm of rectosigmoid junction,Male,9427.0
C20,Malignant neoplasm of rectum,Male,36159.0
C21,Malignant neoplasm of anus and anal canal,Male,1876.0
C22,Malignant neoplasm of liver and intrahepatic bile ducts,Male,16021.0
C23,Malignant neoplasm of gallbladder,Male,936.0
C24,Malignant neoplasm of other and unspecified parts of biliary tract,Male,3548.0
C25,Malignant neoplasm of pancreas,Male,24959.0
C26,Malignant neoplasm of other and ill-defined digestive organs,Male,668.0
C30,Malignant neoplasm of nasal cavity and middle ear,Male,558.0
C31,Malignant neoplasm of accessory sinuses,Male,621.0
C32,Malignant neoplasm of larynx,Male,4191.0
C33,Malignant neoplasm of trachea,Male,74.0
C34,Malignant neoplasm of bronchus and lung,Male,61399.0
C37,Malignant neoplasm of thymus,Male,390.0
C38,"Malignant neoplasm of heart, mediastinum and pleura",Male,664.0
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Male,12.0
C40,Malignant neoplasm of bone and articular cartilage of limbs,Male,2368.0
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Male,2351.0
C43,Malignant melanoma of skin,Male,17089.0
C44,Other malignant neoplasms of skin,Male,87672.0
C45,Mesothelioma,Male,8993.0
C46,Kaposi sarcoma,Male,123.0
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,Male,226.0
C48,Malignant neoplasm of retroperitoneum and peritoneum,Male,971.0
C49,Malignant neoplasm of other connective and soft tissue,Male,4824.0
C50,Malignant neoplasm of breast,Male,1634.0
C51,Malignant neoplasm of vulva,Male,2.0
C52,Malignant neoplasm of vagina,Male,0.0
C53,Malignant neoplasm of cervix uteri,Male,0.0
C54,Malignant neoplasm of corpus uteri,Male,2.0
C55,"Malignant neoplasm of uterus, part unspecified",Male,0.0
C56,Malignant neoplasm of ovary,Male,9.0
C57,Malignant neoplasm of other and unspecified female genital organs,Male,1.0
C58,Malignant neoplasm of placenta,Male,0.0
C60,Malignant neoplasm of penis,Male,1595.0
C61,Malignant neoplasm of prostate,Male,94585.0
C62,Malignant neoplasm of testis,Male,5673.0
C63,Malignant neoplasm of other and unspecified male genital organs,Male,163.0
C64,"Malignant neoplasm of kidney, except renal pelvis",Male,21369.0
C65,Malignant neoplasm of renal pelvis,Male,1324.0
C66,Malignant neoplasm of ureter,Male,1916.0
C67,Malignant neoplasm of bladder,Male,52883.0
C68,Malignant neoplasm of other and unspecified urinary organs,Male,823.0
C69,Malignant neoplasm of eye and adnexa,Male,2065.0
C70,Malignant neoplasm of meninges,Male,123.0
C71,Malignant neoplasm of brain,Male,12696.0
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Male,1182.0
C73,Malignant neoplasm of thyroid gland,Male,2535.0
C74,Malignant neoplasm of adrenal gland,Male,1996.0
C75,Malignant neoplasm of other endocrine glands and related structures,Male,649.0
C76,Malignant neoplasm of other and ill-defined sites,Male,671.0
C77,Secondary and unspecified malignant neoplasm of lymph nodes,Male,9952.0
C78,Secondary malignant neoplasm of respiratory and digestive organs,Male,39138.0
C79,Secondary malignant neoplasm of other and unspecified sites,Male,26532.0
C80,Malignant neoplasm without specification of site,Male,5798.0
C81,Hodgkin lymphoma,Male,12804.0
C82,Follicular lymphoma,Male,11195.0
C83,Non-follicular lymphoma,Male,33818.0
C84,Mature T/NK-cell lymphomas,Male,3650.0
C85,Other and unspecified types of non-Hodgkin lymphoma,Male,8537.0
C86,Other specified types of T/NK-cell lymphoma,Male,1327.0
C88,Malignant immunoproliferative diseases,Male,4791.0
C90,Multiple myeloma and malignant plasma cell neoplasms,Male,97738.0
C91,Lymphoid leukaemia,Male,39558.0
C92,Myeloid leukaemia,Male,44705.0
C93,Monocytic leukaemia,Male,5349.0
C94,Other leukaemias of specified cell type,Male,1071.0
C95,Leukaemia of unspecified cell type,Male,525.0
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Male,668.0
C97,Malignant neoplasms of independent (primary) multiple sites,Male,15088.0
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",Male,373.0
D01,Carcinoma in situ of other and unspecified digestive organs,Male,610.0
D02,Carcinoma in situ of middle ear and respiratory system,Male,425.0
D03,Melanoma in situ,Male,4208.0
D04,Carcinoma in situ of skin,Male,4397.0
D05,Carcinoma in situ of breast,Male,25.0
D06,Carcinoma in situ of cervix uteri,Male,1.0
D07,Carcinoma in situ of other and unspecified genital organs,Male,1342.0
D09,Carcinoma in situ of other and unspecified sites,Male,2235.0
D10,Benign neoplasm of mouth and pharynx,Male,1392.0
D11,Benign neoplasm of major salivary glands,Male,1508.0
D12,"Benign neoplasm of colon, rectum, anus and anal canal",Male,115747.0
D13,Benign neoplasm of other and ill-defined parts of digestive system,Male,2532.0
D14,Benign neoplasm of middle ear and respiratory system,Male,1919.0
D15,Benign neoplasm of other and unspecified intrathoracic organs,Male,372.0
D16,Benign neoplasm of bone and articular cartilage,Male,1364.0
D17,Benign lipomatous neoplasm,Male,11163.0
D18,"Haemangioma and lymphangioma, any site",Male,3570.0
D19,Benign neoplasm of mesothelial tissue,Male,42.0
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Male,16.0
D21,Other benign neoplasms of connective and other soft tissue,Male,1090.0
D22,Melanocytic naevi,Male,10547.0
D23,Other benign neoplasms of skin,Male,5736.0
D24,Benign neoplasm of breast,Male,55.0
D25,Leiomyoma of uterus,Male,2.0
D26,Other benign neoplasms of uterus,Male,1.0
D27,Benign neoplasm of ovary,Male,8.0
D28,Benign neoplasm of other and unspecified female genital organs,Male,0.0
D29,Benign neoplasm of male genital organs,Male,646.0
D30,Benign neoplasm of urinary organs,Male,1033.0
D31,Benign neoplasm of eye and adnexa,Male,292.0
D32,Benign neoplasm of meninges,Male,2059.0
D33,Benign neoplasm of brain and other parts of central nervous system,Male,1434.0
D34,Benign neoplasm of thyroid gland,Male,328.0
D35,Benign neoplasm of other and unspecified endocrine glands,Male,4239.0
D36,Benign neoplasm of other and unspecified sites,Male,1549.0
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Male,5741.0
D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Male,675.0
D39,Neoplasm of uncertain or unknown behaviour of female genital organs,Male,0.0
D40,Neoplasm of uncertain or unknown behaviour of male genital organs,Male,424.0
D41,Neoplasm of uncertain or unknown behaviour of urinary organs,Male,3102.0
D42,Neoplasm of uncertain or unknown behaviour of meninges,Male,83.0
D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Male,1850.0
D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,Male,948.0
D45,Polycythaemia vera,Male,8175.0
D46,Myelodysplastic syndromes,Male,35911.0
D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Male,11080.0
D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Male,2838.0
D50,Iron deficiency anaemia,Male,77321.0
D51,Vitamin B12 deficiency anaemia,Male,503.0
D52,Folate deficiency anaemia,Male,2405.0
D53,Other nutritional anaemias,Male,258.0
D55,Anaemia due to enzyme disorders,Male,317.0
D56,Thalassaemia,Male,8244.0
D57,Sickle-cell disorders,Male,18027.0
D58,Other hereditary haemolytic anaemias,Male,1070.0
D59,Acquired haemolytic anaemia,Male,3454.0
D60,Acquired pure red cell aplasia [erythroblastopenia],Male,648.0
D61,Other aplastic anaemias,Male,10548.0
D62,Acute posthaemorrhagic anaemia,Male,126.0
D63,Anaemia in chronic diseases classified elsewhere,Male,8407.0
D64,Other anaemias,Male,38577.0
D65,Disseminated intravascular coagulation [defibrination syndrome],Male,67.0
D66,Hereditary factor VIII deficiency,Male,1984.0
D67,Hereditary factor IX deficiency,Male,544.0
D68,Other coagulation defects,Male,1503.0
D69,Purpura and other haemorrhagic conditions,Male,14295.0
D70,Agranulocytosis,Male,4666.0
D71,Functional disorders of polymorphonuclear neutrophils,Male,147.0
D72,Other disorders of white blood cells,Male,767.0
D73,Diseases of spleen,Male,875.0
D74,Methaemoglobinaemia,Male,137.0
D75,Other diseases of blood and blood-forming organs,Male,11689.0
D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,Male,621.0
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere,Male,0.0
D80,Immunodeficiency with predominantly antibody defects,Male,6987.0
D81,Combined immunodeficiencies,Male,623.0
D82,Immunodeficiency associated with other major defects,Male,392.0
D83,Common variable immunodeficiency,Male,2833.0
D84,Other immunodeficiencies,Male,957.0
D86,Sarcoidosis,Male,2472.0
D89,"Other disorders involving the immune mechanism, not elsewhere classified",Male,598.0
E01,Iodine-deficiency-related thyroid disorders and allied conditions,Male,0.0
E02,Subclinical iodine-deficiency hypothyroidism,Male,16.0
E03,Other hypothyroidism,Male,1005.0
E04,Other nontoxic goitre,Male,1569.0
E05,Thyrotoxicosis [hyperthyroidism],Male,2080.0
E06,Thyroiditis,Male,149.0
E07,Other disorders of thyroid,Male,105.0
E10,Type 1 diabetes mellitus,Male,24048.0
E11,Type 2 diabetes mellitus,Male,40594.0
E12,Malnutrition-related diabetes mellitus,Male,4.0
E13,Other specified diabetes mellitus,Male,731.0
E14,Unspecified diabetes mellitus,Male,1648.0
E15,Nondiabetic hypoglycaemic coma,Male,2.0
E16,Other disorders of pancreatic internal secretion,Male,11497.0
E20,Hypoparathyroidism,Male,111.0
E21,Hyperparathyroidism and other disorders of parathyroid gland,Male,1234.0
E22,Hyperfunction of pituitary gland,Male,2690.0
E23,Hypofunction and other disorders of pituitary gland,Male,2744.0
E24,Cushing syndrome,Male,320.0
E25,Adrenogenital disorders,Male,283.0
E26,Hyperaldosteronism,Male,567.0
E27,Other disorders of adrenal gland,Male,4841.0
E28,Ovarian dysfunction,Male,2.0
E29,Testicular dysfunction,Male,1612.0
E30,"Disorders of puberty, not elsewhere classified",Male,1135.0
E31,Polyglandular dysfunction,Male,15.0
E32,Diseases of thymus,Male,73.0
E34,Other endocrine disorders,Male,1664.0
E35,Disorders of endocrine glands in diseases classified elsewhere,Male,0.0
E40,Kwashiorkor,Male,0.0
E41,Nutritional marasmus,Male,39.0
E42,Marasmic kwashiorkor,Male,0.0
E43,Unspecified severe protein-energy malnutrition,Male,123.0
E44,Protein-energy malnutrition of moderate and mild degree,Male,1.0
E45,Retarded development following protein-energy malnutrition,Male,5.0
E46,Unspecified protein-energy malnutrition,Male,848.0
E50,Vitamin A deficiency,Male,48.0
E51,Thiamine deficiency,Male,533.0
E52,Niacin deficiency [pellagra],Male,1.0
E53,Deficiency of other B group vitamins,Male,1527.0
E54,Ascorbic acid deficiency,Male,13.0
E55,Vitamin D deficiency,Male,553.0
E56,Other vitamin deficiencies,Male,44.0
E58,Dietary calcium deficiency,Male,13.0
E59,Dietary selenium deficiency,Male,0.0
E60,Dietary zinc deficiency,Male,3.0
E61,Deficiency of other nutrient elements,Male,3530.0
E63,Other nutritional deficiencies,Male,123.0
E65,Localized adiposity,Male,24.0
E66,Obesity,Male,2665.0
E67,Other hyperalimentation,Male,9.0
E70,Disorders of aromatic amino-acid metabolism,Male,77.0
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,Male,377.0
E72,Other disorders of amino-acid metabolism,Male,296.0
E73,Lactose intolerance,Male,102.0
E74,Other disorders of carbohydrate metabolism,Male,388.0
E75,Disorders of sphingolipid metabolism and other lipid storage disorders,Male,761.0
E76,Disorders of glycosaminoglycan metabolism,Male,354.0
E77,Disorders of glycoprotein metabolism,Male,24.0
E78,Disorders of lipoprotein metabolism and other lipidaemias,Male,1232.0
E79,Disorders of purine and pyrimidine metabolism,Male,9.0
E80,Disorders of porphyrin and bilirubin metabolism,Male,548.0
E83,Disorders of mineral metabolism,Male,75457.0
E84,Cystic fibrosis,Male,3556.0
E85,Amyloidosis,Male,3026.0
E86,Volume depletion,Male,5555.0
E87,"Other disorders of fluid, electrolyte and acid-base balance",Male,47020.0
E88,Other metabolic disorders,Male,879.0
E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Male,301.0
E90,Nutritional and metabolic disorders in diseases classified elsewhere,Male,7.0
F00,Dementia in Alzheimer disease,Male,1032.0
F01,Vascular dementia,Male,2684.0
F02,Dementia in other diseases classified elsewhere,Male,327.0
F03,Unspecified dementia,Male,3215.0
F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",Male,14.0
F05,"Delirium, not induced by alcohol and other psychoactive substances",Male,31104.0
F06,Other mental disorders due to brain damage and dysfunction and to physical disease,Male,1428.0
F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",Male,320.0
F09,Unspecified organic or symptomatic mental disorder,Male,19.0
F10,Mental and behavioural disorders due to use of alcohol,Male,47517.0
F11,Mental and behavioural disorders due to use of opioids,Male,633.0
F12,Mental and behavioural disorders due to use of cannabinoids,Male,970.0
F13,Mental and behavioural disorders due to use of sedatives or hypnotics,Male,202.0
F14,Mental and behavioural disorders due to use of cocaine,Male,533.0
F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",Male,231.0
F16,Mental and behavioural disorders due to use of hallucinogens,Male,69.0
F17,Mental and behavioural disorders due to use of tobacco,Male,960.0
F18,Mental and behavioural disorders due to use of volatile solvents,Male,42.0
F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Male,2488.0
F20,Schizophrenia,Male,6382.0
F21,Schizotypal disorder,Male,19.0
F22,Persistent delusional disorders,Male,950.0
F23,Acute and transient psychotic disorders,Male,1424.0
F24,Induced delusional disorder,Male,7.0
F25,Schizoaffective disorders,Male,1919.0
F28,Other nonorganic psychotic disorders,Male,34.0
F29,Unspecified nonorganic psychosis,Male,2694.0
F30,Manic episode,Male,421.0
F31,Bipolar affective disorder,Male,2564.0
F32,Depressive episode,Male,4234.0
F33,Recurrent depressive disorder,Male,467.0
F34,Persistent mood [affective] disorders,Male,27.0
F38,Other mood [affective] disorders,Male,22.0
F39,Unspecified mood [affective] disorder,Male,43.0
F40,Phobic anxiety disorders,Male,29.0
F41,Other anxiety disorders,Male,5138.0
F42,Obsessive-compulsive disorder,Male,133.0
F43,"Reaction to severe stress, and adjustment disorders",Male,1176.0
F44,Dissociative [conversion] disorders,Male,2216.0
F45,Somatoform disorders,Male,314.0
F48,Other neurotic disorders,Male,29.0
F50,Eating disorders,Male,728.0
F51,Nonorganic sleep disorders,Male,115.0
F52,"Sexual dysfunction, not caused by organic disorder or disease",Male,313.0
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Male,0.0
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Male,6.0
F55,Abuse of non-dependence-producing substances,Male,11.0
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Male,2.0
F60,Specific personality disorders,Male,1329.0
F61,Mixed and other personality disorders,Male,131.0
F62,"Enduring personality changes, not attributable to brain damage and disease",Male,19.0
F63,Habit and impulse disorders,Male,1.0
F64,Gender identity disorders,Male,911.0
F65,Disorders of sexual preference,Male,2.0
F66,Psychological and behavioural disorders associated with sexual development and orientation,Male,30.0
F68,Other disorders of adult personality and behaviour,Male,3.0
F69,Unspecified disorder of adult personality and behaviour,Male,14.0
F70,Mild disorder of intellectual development,Male,96.0
F71,Moderate disorder of intellectual development,Male,37.0
F72,Severe disorder of intellectual development,Male,49.0
F73,Profound disorder of intellectual development,Male,1.0
F79,Unspecified disorder of intellectual development,Male,72.0
F80,Specific developmental disorders of speech and language,Male,284.0
F81,Specific developmental disorders of scholastic skills,Male,153.0
F82,Specific developmental disorder of motor function,Male,67.0
F83,Mixed specific developmental disorders,Male,38.0
F84,Pervasive developmental disorders,Male,743.0
F88,Other disorders of psychological development,Male,11.0
F89,Unspecified disorder of psychological development,Male,477.0
F90,Hyperkinetic disorders,Male,211.0
F91,Conduct disorders,Male,71.0
F92,Mixed disorders of conduct and emotions,Male,21.0
F93,Emotional disorders with onset specific to childhood,Male,11.0
F94,Disorders of social functioning with onset specific to childhood and adolescence,Male,6.0
F95,Tic disorders,Male,175.0
F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Male,161.0
F99,"Mental disorder, not otherwise specified",Male,174.0
G00,"Bacterial meningitis, not elsewhere classified",Male,1226.0
G01,Meningitis in bacterial diseases classified elsewhere,Male,16.0
G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Male,45.0
G03,Meningitis due to other and unspecified causes,Male,951.0
G04,"Encephalitis, myelitis and encephalomyelitis",Male,2941.0
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",Male,76.0
G06,Intracranial and intraspinal abscess and granuloma,Male,1956.0
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Male,12.0
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Male,611.0
G10,Huntington disease,Male,226.0
G11,Hereditary ataxia,Male,559.0
G12,Spinal muscular atrophy and related syndromes,Male,3600.0
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Male,41.0
G14,Postpolio syndrome,Male,8.0
G20,Parkinson disease,Male,7708.0
G21,Secondary parkinsonism,Male,565.0
G23,Other degenerative diseases of basal ganglia,Male,617.0
G24,Dystonia,Male,1505.0
G25,Other extrapyramidal and movement disorders,Male,1857.0
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,Male,0.0
G30,Alzheimer disease,Male,4869.0
G31,"Other degenerative diseases of nervous system, not elsewhere classified",Male,1941.0
G32,Other degenerative disorders of nervous system in diseases classified elsewhere,Male,122.0
G35,Multiple sclerosis,Male,18011.0
G36,Other acute disseminated demyelination,Male,321.0
G37,Other demyelinating diseases of central nervous system,Male,1020.0
G40,Epilepsy,Male,30622.0
G41,Status epilepticus,Male,3857.0
G43,Migraine,Male,9321.0
G44,Other headache syndromes,Male,3456.0
G45,Transient cerebral ischaemic attacks and related syndromes,Male,12073.0
G46,Vascular syndromes of brain in cerebrovascular diseases,Male,70.0
G47,Sleep disorders,Male,15326.0
G50,Disorders of trigeminal nerve,Male,1168.0
G51,Facial nerve disorders,Male,2813.0
G52,Disorders of other cranial nerves,Male,125.0
G53,Cranial nerve disorders in diseases classified elsewhere,Male,129.0
G54,Nerve root and plexus disorders,Male,836.0
G55,Nerve root and plexus compressions in diseases classified elsewhere,Male,5126.0
G56,Mononeuropathies of upper limb,Male,19051.0
G57,Mononeuropathies of lower limb,Male,1265.0
G58,Other mononeuropathies,Male,784.0
G59,Mononeuropathy in diseases classified elsewhere,Male,7.0
G60,Hereditary and idiopathic neuropathy,Male,458.0
G61,Inflammatory polyneuropathy,Male,15857.0
G62,Other polyneuropathies,Male,7856.0
G63,Polyneuropathy in diseases classified elsewhere,Male,517.0
G64,Other disorders of peripheral nervous system,Male,5.0
G70,Myasthenia gravis and other myoneural disorders,Male,2917.0
G71,Primary disorders of muscles,Male,2377.0
G72,Other myopathies,Male,843.0
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,Male,22.0
G80,Cerebral palsy,Male,3275.0
G81,Hemiplegia,Male,2017.0
G82,Paraplegia and tetraplegia,Male,1407.0
G83,Other paralytic syndromes,Male,1712.0
G90,Disorders of autonomic nervous system,Male,479.0
G91,Hydrocephalus,Male,3007.0
G92,Toxic encephalopathy,Male,82.0
G93,Other disorders of brain,Male,6319.0
G94,Other disorders of brain in diseases classified elsewhere,Male,183.0
G95,Other diseases of spinal cord,Male,2679.0
G96,Other disorders of central nervous system,Male,731.0
G97,"Postprocedural disorders of nervous system, not elsewhere classified",Male,599.0
G98,"Other disorders of nervous system, not elsewhere classified",Male,343.0
G99,Other disorders of nervous system in diseases classified elsewhere,Male,2195.0
H00,Hordeolum and chalazion,Male,2537.0
H01,Other inflammation of eyelid,Male,478.0
