BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Male,60-64 years,4750
Gender and Age Group,Male,65-69 years,4230
Gender and Age Group,Male,70-74 years,4665
Gender and Age Group,Male,75-79 years,4095
Gender and Age Group,Male,80-84 years,4100
Gender and Age Group,Male,85-89 years,3245
Gender and Age Group,Male,90-94 years,1440
Gender and Age Group,Male,95 years or older,465
Gender and Age Group,Female,0 years,390135
Gender and Age Group,Female,01-04 years,849870
Gender and Age Group,Female,05-09 years,490936
Gender and Age Group,Female,10-14 years,561125
Gender and Age Group,Female,15-19 years,1150566
Gender and Age Group,Female,20-24 years,1605027
Gender and Age Group,Female,25-29 years,1385905
Gender and Age Group,Female,30-34 years,1269572
Gender and Age Group,Female,35-39 years,1153657
Gender and Age Group,Female,40-44 years,949751
Gender and Age Group,Female,45-49 years,1068331
Gender and Age Group,Female,50-54 years,1180372
Gender and Age Group,Female,55-59 years,1205862
Gender and Age Group,Female,60-64 years,1090853
Gender and Age Group,Female,65-69 years,1058163
Gender and Age Group,Female,70-74 years,1299397
Gender and Age Group,Female,75-79 years,1416037
Gender and Age Group,Female,80-84 years,1673270
Gender and Age Group,Female,85-89 years,1651219
Gender and Age Group,Female,90-94 years,1125726
Gender and Age Group,Female,95 years or older,406248
Gender and Age Group,Male,0 years,493394
Gender and Age Group,Male,01-04 years,1120864
Gender and Age Group,Male,05-09 years,619195
Gender and Age Group,Male,10-14 years,656141
Gender and Age Group,Male,15-19 years,1042138
Gender and Age Group,Male,20-24 years,1421745
Gender and Age Group,Male,25-29 years,1330519
Gender and Age Group,Male,30-34 years,1306128
Gender and Age Group,Male,35-39 years,1279146
Gender and Age Group,Male,40-44 years,1095869
Gender and Age Group,Male,45-49 years,1234645
Gender and Age Group,Male,50-54 years,1338132
Gender and Age Group,Male,55-59 years,1300189
Gender and Age Group,Male,60-64 years,1169298
Gender and Age Group,Male,65-69 years,1159075
Gender and Age Group,Male,70-74 years,1292071
Gender and Age Group,Male,75-79 years,1237944
Gender and Age Group,Male,80-84 years,1331429
Gender and Age Group,Male,85-89 years,1123054
Gender and Age Group,Male,90-94 years,539759
Gender and Age Group,Male,95 years or older,165270
Gender and Age Group,Female,0 years,1250
Gender and Age Group,Female,01-04 years,3230
Gender and Age Group,Female,05-09 years,2370
Gender and Age Group,Female,10-14 years,2765
Gender and Age Group,Female,15-19 years,3930
Gender and Age Group,Female,20-24 years,4435
Gender and Age Group,Female,25-29 years,4510
Gender and Age Group,Female,30-34 years,4065
Gender and Age Group,Female,35-39 years,3380
Gender and Age Group,Female,40-44 years,2965
Gender and Age Group,Female,45-49 years,3260
Gender and Age Group,Female,50-54 years,3915
Gender and Age Group,Female,55-59 years,3900
Gender and Age Group,Female,60-64 years,3365
Gender and Age Group,Female,65-69 years,3555
Gender and Age Group,Female,70-74 years,4315
Gender and Age Group,Female,75-79 years,4280
Gender and Age Group,Female,80-84 years,4335
Gender and Age Group,Female,85-89 years,3860
Gender and Age Group,Female,90-94 years,2360
Gender and Age Group,Female,95 years or older,995
Gender and Age Group,Male,0 years,1380
Gender and Age Group,Male,01-04 years,4260
Gender and Age Group,Male,05-09 years,2815
Gender and Age Group,Male,10-14 years,3285
Gender and Age Group,Male,15-19 years,3110
Gender and Age Group,Male,20-24 years,3545
Gender and Age Group,Male,25-29 years,3560
Gender and Age Group,Male,30-34 years,3475
Gender and Age Group,Male,35-39 years,3280
Gender and Age Group,Male,40-44 years,2765
Gender and Age Group,Male,45-49 years,3170
Gender and Age Group,Male,50-54 years,3520
Gender and Age Group,Male,55-59 years,3710
Gender and Age Group,Male,60-64 years,3215
Gender and Age Group,Male,65-69 years,3145
Gender and Age Group,Male,70-74 years,3975
Gender and Age Group,Male,75-79 years,3590
Gender and Age Group,Male,80-84 years,3770
Gender and Age Group,Male,85-89 years,2880
Gender and Age Group,Male,90-94 years,1530
Gender and Age Group,Male,95 years or older,435
Gender and Age Group,Male,Unknown,10
Gender and Age Group,Female,0 years,120109
Gender and Age Group,Female,01-04 years,377698
Gender and Age Group,Female,05-09 years,277041
Gender and Age Group,Female,10-14 years,362286
Gender and Age Group,Female,15-19 years,505426
Gender and Age Group,Female,20-24 years,606275
Gender and Age Group,Female,25-29 years,635159
Gender and Age Group,Female,30-34 years,605117
Gender and Age Group,Female,35-39 years,552090
Gender and Age Group,Female,40-44 years,451728
Gender and Age Group,Female,45-49 years,549401
Gender and Age Group,Female,50-54 years,732394
Gender and Age Group,Female,55-59 years,751021
Gender and Age Group,Female,60-64 years,664663
Gender and Age Group,Female,65-69 years,759946
Gender and Age Group,Female,70-74 years,997213
Gender and Age Group,Female,75-79 years,1147677
Gender and Age Group,Female,80-84 years,1173908
Gender and Age Group,Female,85-89 years,1183783
Gender and Age Group,Female,90-94 years,742641
Gender and Age Group,Female,95 years or older,348233
Gender and Age Group,Female,Unknown,339
Gender and Age Group,Male,0 years,128346
Gender and Age Group,Male,01-04 years,464703
Gender and Age Group,Male,05-09 years,339316
Gender and Age Group,Male,10-14 years,451103
Gender and Age Group,Male,15-19 years,444576
Gender and Age Group,Male,20-24 years,540757
Gender and Age Group,Male,25-29 years,570013
Gender and Age Group,Male,30-34 years,523852
Gender and Age Group,Male,35-39 years,533181
Gender and Age Group,Male,40-44 years,484680
Gender and Age Group,Male,45-49 years,558342
Gender and Age Group,Male,50-54 years,659082
Gender and Age Group,Male,55-59 years,781862
Gender and Age Group,Male,60-64 years,685084
Gender and Age Group,Male,65-69 years,665183
Gender and Age Group,Male,70-74 years,1022301
Gender and Age Group,Male,75-79 years,831474
Gender and Age Group,Male,80-84 years,1065782
Gender and Age Group,Male,85-89 years,844100
Gender and Age Group,Male,90-94 years,468082
Gender and Age Group,Male,95 years or older,114087
Gender and Age Group,Male,Unknown,1033
Gender and Age Group,Female,0 years,3360
Gender and Age Group,Female,01-04 years,8440
Gender and Age Group,Female,05-09 years,6095
Gender and Age Group,Female,10-14 years,6775
Gender and Age Group,Female,15-19 years,8050
Gender and Age Group,Female,20-24 years,9380
Gender and Age Group,Female,25-29 years,10315
Gender and Age Group,Female,30-34 years,9255
Gender and Age Group,Female,35-39 years,7520
Gender and Age Group,Female,40-44 years,5910
Gender and Age Group,Female,45-49 years,6900
Gender and Age Group,Female,50-54 years,7155
Gender and Age Group,Female,55-59 years,6365
Gender and Age Group,Female,60-64 years,5295
Gender and Age Group,Female,65-69 years,4680
Gender and Age Group,Female,70-74 years,5470
Gender and Age Group,Female,75-79 years,5030
Gender and Age Group,Female,80-84 years,4885
Gender and Age Group,Female,85-89 years,3885
Gender and Age Group,Female,90-94 years,2090
Gender and Age Group,Female,95 years or older,680
Gender and Age Group,Male,0 years,4130
Gender and Age Group,Male,01-04 years,11100
Gender and Age Group,Male,05-09 years,7475
Gender and Age Group,Male,10-14 years,8970
Gender and Age Group,Male,15-19 years,7235
Gender and Age Group,Male,20-24 years,8095
Gender and Age Group,Male,25-29 years,8670
Gender and Age Group,Male,30-34 years,8155
Gender and Age Group,Male,35-39 years,7440
Gender and Age Group,Male,40-44 years,6290
Gender and Age Group,Male,45-49 years,6760
Gender and Age Group,Male,50-54 years,6625
Gender and Age Group,Male,55-59 years,6225
Gender and Age Group,Male,60-64 years,5210
Gender and Age Group,Male,65-69 years,4525
Gender and Age Group,Male,70-74 years,5120
Gender and Age Group,Male,75-79 years,4450
Gender and Age Group,Male,80-84 years,4075
Gender and Age Group,Male,85-89 years,2530
Gender and Age Group,Male,90-94 years,1155
Gender and Age Group,Male,95 years or older,285
Gender and Age Group,Female,0 years,399256
Gender and Age Group,Female,01-04 years,1068485
Gender and Age Group,Female,05-09 years,854094
Gender and Age Group,Female,10-14 years,1021898
Gender and Age Group,Female,15-19 years,1177650
Gender and Age Group,Female,20-24 years,1300672
Gender and Age Group,Female,25-29 years,1460304
Gender and Age Group,Female,30-34 years,1342864
Gender and Age Group,Female,35-39 years,1126035
Gender and Age Group,Female,40-44 years,925660
Gender and Age Group,Female,45-49 years,1090336
Gender and Age Group,Female,50-54 years,1151649
Gender and Age Group,Female,55-59 years,1077533
Gender and Age Group,Female,60-64 years,948216
Gender and Age Group,Female,65-69 years,879404
Gender and Age Group,Female,70-74 years,1080934
Gender and Age Group,Female,75-79 years,1051212
Gender and Age Group,Female,80-84 years,1101962
Gender and Age Group,Female,85-89 years,941082
Gender and Age Group,Female,90-94 years,526947
Gender and Age Group,Female,95 years or older,172425
Gender and Age Group,Male,0 years,493230
Gender and Age Group,Male,01-04 years,1405151
Gender and Age Group,Male,05-09 years,1022531
Gender and Age Group,Male,10-14 years,1378047
Gender and Age Group,Male,15-19 years,1138426
Gender and Age Group,Male,20-24 years,1194698
Gender and Age Group,Male,25-29 years,1289168
Gender and Age Group,Male,30-34 years,1227076
Gender and Age Group,Male,35-39 years,1136943
Gender and Age Group,Male,40-44 years,1001968
Gender and Age Group,Male,45-49 years,1098041
Gender and Age Group,Male,50-54 years,1109079
Gender and Age Group,Male,55-59 years,1072026
Gender and Age Group,Male,60-64 years,938155
Gender and Age Group,Male,65-69 years,870871
Gender and Age Group,Male,70-74 years,1033899
Gender and Age Group,Male,75-79 years,950510
Gender and Age Group,Male,80-84 years,910393
Gender and Age Group,Male,85-89 years,603780
Gender and Age Group,Male,90-94 years,291795
Gender and Age Group,Male,95 years or older,70138
Gender and Age Group,Female,0 years,2530
Gender and Age Group,Female,01-04 years,4950
Gender and Age Group,Female,05-09 years,3275
Gender and Age Group,Female,10-14 years,3485
Gender and Age Group,Female,15-19 years,5200
Gender and Age Group,Female,20-24 years,6760
Gender and Age Group,Female,25-29 years,5760
Gender and Age Group,Female,30-34 years,5670
Gender and Age Group,Female,35-39 years,4725
Gender and Age Group,Female,40-44 years,4155
Gender and Age Group,Female,45-49 years,4620
Gender and Age Group,Female,50-54 years,4855
Gender and Age Group,Female,55-59 years,4670
Gender and Age Group,Female,60-64 years,3795
Gender and Age Group,Female,65-69 years,3705
Gender and Age Group,Female,70-74 years,4240
Gender and Age Group,Female,75-79 years,4005
Gender and Age Group,Female,80-84 years,4135
Gender and Age Group,Female,85-89 years,3535
Gender and Age Group,Female,90-94 years,2305
Gender and Age Group,Female,95 years or older,740
Gender and Age Group,Male,0 years,3125
Gender and Age Group,Male,01-04 years,6325
Gender and Age Group,Male,05-09 years,4050
Gender and Age Group,Male,10-14 years,4275
Gender and Age Group,Male,15-19 years,4365
Gender and Age Group,Male,20-24 years,5485
Gender and Age Group,Male,25-29 years,5015
Gender and Age Group,Male,30-34 years,4935
Gender and Age Group,Male,35-39 years,4945
Gender and Age Group,Male,40-44 years,4385
Gender and Age Group,Male,45-49 years,4820
Gender and Age Group,Male,50-54 years,5295
Gender and Age Group,Male,55-59 years,4615
Gender and Age Group,Male,60-64 years,3995
Gender and Age Group,Male,65-69 years,3885
Gender and Age Group,Male,70-74 years,4445
Gender and Age Group,Male,75-79 years,4070
Gender and Age Group,Male,80-84 years,3455
Gender and Age Group,Male,85-89 years,2805
Gender and Age Group,Male,90-94 years,1360
Gender and Age Group,Male,95 years or older,405
Gender and Age Group,Female,0 years,436973
Gender and Age Group,Female,01-04 years,808730
Gender and Age Group,Female,05-09 years,581785
Gender and Age Group,Female,10-14 years,668789
Gender and Age Group,Female,15-19 years,972380
Gender and Age Group,Female,20-24 years,1187581
Gender and Age Group,Female,25-29 years,1048912
Gender and Age Group,Female,30-34 years,1059812
Gender and Age Group,Female,35-39 years,896673
Gender and Age Group,Female,40-44 years,799179
Gender and Age Group,Female,45-49 years,888949
Gender and Age Group,Female,50-54 years,976633
Gender and Age Group,Female,55-59 years,956560
Gender and Age Group,Female,60-64 years,834776
Gender and Age Group,Female,65-69 years,822699
Gender and Age Group,Female,70-74 years,1052293
Gender and Age Group,Female,75-79 years,1044225
Gender and Age Group,Female,80-84 years,1161589
Gender and Age Group,Female,85-89 years,1064611
Gender and Age Group,Female,90-94 years,745100
Gender and Age Group,Female,95 years or older,251184
Gender and Age Group,Male,0 years,541505
Gender and Age Group,Male,01-04 years,974007
Gender and Age Group,Male,05-09 years,712765
Gender and Age Group,Male,10-14 years,780600
Gender and Age Group,Male,15-19 years,785081
Gender and Age Group,Male,20-24 years,925291
Gender and Age Group,Male,25-29 years,866793
Gender and Age Group,Male,30-34 years,888606
Gender and Age Group,Male,35-39 years,913524
Gender and Age Group,Male,40-44 years,826778
Gender and Age Group,Male,45-49 years,966507
Gender and Age Group,Male,50-54 years,1116969
Gender and Age Group,Male,55-59 years,1002358
Gender and Age Group,Male,60-64 years,913433
Gender and Age Group,Male,65-69 years,942252
Gender and Age Group,Male,70-74 years,1097482
Gender and Age Group,Male,75-79 years,1022301
Gender and Age Group,Male,80-84 years,948459
Gender and Age Group,Male,85-89 years,814253
Gender and Age Group,Male,90-94 years,402078
Gender and Age Group,Male,95 years or older,123547
Gender and Age Group,Female,0 years,650
Gender and Age Group,Female,01-04 years,1680
Gender and Age Group,Female,05-09 years,1245
Gender and Age Group,Female,10-14 years,1660
Gender and Age Group,Female,15-19 years,2020
Gender and Age Group,Female,20-24 years,2465
Gender and Age Group,Female,25-29 years,2320
Gender and Age Group,Female,30-34 years,1945
Gender and Age Group,Female,35-39 years,1660
Gender and Age Group,Female,40-44 years,1485
Gender and Age Group,Female,45-49 years,1915
Gender and Age Group,Female,50-54 years,1960
Gender and Age Group,Female,55-59 years,1875
Gender and Age Group,Female,60-64 years,1715
Gender and Age Group,Female,65-69 years,1640
Gender and Age Group,Female,70-74 years,2260
Gender and Age Group,Female,75-79 years,2305
Gender and Age Group,Female,80-84 years,2625
Gender and Age Group,Female,85-89 years,2280
Gender and Age Group,Female,90-94 years,1385
Gender and Age Group,Female,95 years or older,480
Gender and Age Group,Male,0 years,820
Gender and Age Group,Male,01-04 years,2165
Gender and Age Group,Male,05-09 years,1360
Gender and Age Group,Male,10-14 years,1795
Gender and Age Group,Male,15-19 years,1600
Gender and Age Group,Male,20-24 years,1615
Gender and Age Group,Male,25-29 years,2060
Gender and Age Group,Male,30-34 years,1760
Gender and Age Group,Male,35-39 years,1790
Gender and Age Group,Male,40-44 years,1455
Gender and Age Group,Male,45-49 years,1930
Gender and Age Group,Male,50-54 years,2135
Gender and Age Group,Male,55-59 years,2200
Gender and Age Group,Male,60-64 years,2030
Gender and Age Group,Male,65-69 years,2130
Gender and Age Group,Male,70-74 years,2365
Gender and Age Group,Male,75-79 years,2435
Gender and Age Group,Male,80-84 years,2335
Gender and Age Group,Male,85-89 years,1680
Gender and Age Group,Male,90-94 years,785
Gender and Age Group,Male,95 years or older,220
Gender and Age Group,Female,0 years,151587
Gender and Age Group,Female,01-04 years,387056
Gender and Age Group,Female,05-09 years,288764
Gender and Age Group,Female,10-14 years,386017
Gender and Age Group,Female,15-19 years,480240
Gender and Age Group,Female,20-24 years,596181
Gender and Age Group,Female,25-29 years,562674
Gender and Age Group,Female,30-34 years,490890
Gender and Age Group,Female,35-39 years,409134
Gender and Age Group,Female,40-44 years,379687
Gender and Age Group,Female,45-49 years,490280
Gender and Age Group,Female,50-54 years,518526
Gender and Age Group,Female,55-59 years,504967
Gender and Age Group,Female,60-64 years,469721
Gender and Age Group,Female,65-69 years,471349
Gender and Age Group,Female,70-74 years,638209
Gender and Age Group,Female,75-79 years,685889
Gender and Age Group,Female,80-84 years,797726
Gender and Age Group,Female,85-89 years,707025
Gender and Age Group,Female,90-94 years,429358
Gender and Age Group,Female,95 years or older,147946
Gender and Age Group,Male,0 years,192042
Gender and Age Group,Male,01-04 years,498735
Gender and Age Group,Male,05-09 years,314397
Gender and Age Group,Male,10-14 years,423267
Gender and Age Group,Male,15-19 years,386409
Gender and Age Group,Male,20-24 years,397164
Gender and Age Group,Male,25-29 years,514303
Gender and Age Group,Male,30-34 years,437635
Gender and Age Group,Male,35-39 years,448065
Gender and Age Group,Male,40-44 years,371407
Gender and Age Group,Male,45-49 years,502820
Gender and Age Group,Male,50-54 years,561345
Gender and Age Group,Male,55-59 years,593049
Gender and Age Group,Male,60-64 years,562175
Gender and Age Group,Male,65-69 years,607445
Gender and Age Group,Male,70-74 years,674038
Gender and Age Group,Male,75-79 years,706825
Gender and Age Group,Male,80-84 years,684482
Gender and Age Group,Male,85-89 years,503042
Gender and Age Group,Male,90-94 years,237727
Gender and Age Group,Male,95 years or older,65991
Gender and Age Group,Female,0 years,530
Gender and Age Group,Female,01-04 years,1465
Gender and Age Group,Female,05-09 years,980
Gender and Age Group,Female,10-14 years,1430
Gender and Age Group,Female,15-19 years,2075
Gender and Age Group,Female,20-24 years,2505
Gender and Age Group,Female,25-29 years,2530
Gender and Age Group,Female,30-34 years,2275
Gender and Age Group,Female,35-39 years,2075
Gender and Age Group,Female,40-44 years,1915
Gender and Age Group,Female,45-49 years,2315
Gender and Age Group,Female,50-54 years,2180
Gender and Age Group,Female,55-59 years,2205
Gender and Age Group,Female,60-64 years,1915
Gender and Age Group,Female,65-69 years,1905
Gender and Age Group,Female,70-74 years,2340
Gender and Age Group,Female,75-79 years,2495
Gender and Age Group,Female,80-84 years,2605
Gender and Age Group,Female,85-89 years,2265
Gender and Age Group,Female,90-94 years,1255
Gender and Age Group,Female,95 years or older,505
Gender and Age Group,Male,0 years,700
Gender and Age Group,Male,01-04 years,1830
Gender and Age Group,Male,05-09 years,1150
Gender and Age Group,Male,10-14 years,1695
Gender and Age Group,Male,15-19 years,2015
Gender and Age Group,Male,20-24 years,2275
Gender and Age Group,Male,25-29 years,2485
Gender and Age Group,Male,30-34 years,2255
Gender and Age Group,Male,35-39 years,2275
Gender and Age Group,Male,40-44 years,1930
Gender and Age Group,Male,45-49 years,2320
Gender and Age Group,Male,50-54 years,2305
Gender and Age Group,Male,55-59 years,2295
Gender and Age Group,Male,60-64 years,2105
Gender and Age Group,Male,65-69 years,1960
Gender and Age Group,Male,70-74 years,2460
Gender and Age Group,Male,75-79 years,2390
Gender and Age Group,Male,80-84 years,2275
Gender and Age Group,Male,85-89 years,1620
Gender and Age Group,Male,90-94 years,820
Gender and Age Group,Male,95 years or older,155
Gender and Age Group,Female,0 years,71647
Gender and Age Group,Female,01-04 years,195276
Gender and Age Group,Female,05-09 years,127541
Gender and Age Group,Female,10-14 years,207876
Gender and Age Group,Female,15-19 years,494008
Gender and Age Group,Female,20-24 years,674431
Gender and Age Group,Female,25-29 years,669650
Gender and Age Group,Female,30-34 years,635124
Gender and Age Group,Female,35-39 years,553641
Gender and Age Group,Female,40-44 years,534002
Gender and Age Group,Female,45-49 years,641010
Gender and Age Group,Female,50-54 years,633757
Gender and Age Group,Female,55-59 years,669767
Gender and Age Group,Female,60-64 years,637691
Gender and Age Group,Female,65-69 years,659806
Gender and Age Group,Female,70-74 years,852543
Gender and Age Group,Female,75-79 years,927439
Gender and Age Group,Female,80-84 years,1014510
Gender and Age Group,Female,85-89 years,907265
Gender and Age Group,Female,90-94 years,510179
Gender and Age Group,Female,95 years or older,210840
Gender and Age Group,Male,0 years,92305
Gender and Age Group,Male,01-04 years,217716
Gender and Age Group,Male,05-09 years,152243
Gender and Age Group,Male,10-14 years,229767
Gender and Age Group,Male,15-19 years,427238
Gender and Age Group,Male,20-24 years,555225
Gender and Age Group,Male,25-29 years,617407
Gender and Age Group,Male,30-34 years,587515
Gender and Age Group,Male,35-39 years,595970
Gender and Age Group,Male,40-44 years,540645
Gender and Age Group,Male,45-49 years,699226
Gender and Age Group,Male,50-54 years,713253
Gender and Age Group,Male,55-59 years,762007
Gender and Age Group,Male,60-64 years,721336
Gender and Age Group,Male,65-69 years,725263
Gender and Age Group,Male,70-74 years,945678
Gender and Age Group,Male,75-79 years,922615
Gender and Age Group,Male,80-84 years,921983
Gender and Age Group,Male,85-89 years,662544
Gender and Age Group,Male,90-94 years,336625
Gender and Age Group,Male,95 years or older,65417
Gender and Age Group,Female,0 years,1590
Gender and Age Group,Female,01-04 years,3445
Gender and Age Group,Female,05-09 years,2185
Gender and Age Group,Female,10-14 years,2350
Gender and Age Group,Female,15-19 years,2550
Gender and Age Group,Female,20-24 years,2915
Gender and Age Group,Female,25-29 years,3270
Gender and Age Group,Female,30-34 years,3220
Gender and Age Group,Female,35-39 years,2870
Gender and Age Group,Female,40-44 years,2260
Gender and Age Group,Female,45-49 years,2390
Gender and Age Group,Female,50-54 years,2730
Gender and Age Group,Female,55-59 years,2340
Gender and Age Group,Female,60-64 years,1940
Gender and Age Group,Female,65-69 years,1780
Gender and Age Group,Female,70-74 years,2070
Gender and Age Group,Female,75-79 years,1980
Gender and Age Group,Female,80-84 years,2150
Gender and Age Group,Female,85-89 years,1915
Gender and Age Group,Female,90-94 years,1265
Gender and Age Group,Female,95 years or older,500
Gender and Age Group,Male,0 years,2075
Gender and Age Group,Male,01-04 years,4675
Gender and Age Group,Male,05-09 years,2720
Gender and Age Group,Male,10-14 years,2855
Gender and Age Group,Male,15-19 years,2175
Gender and Age Group,Male,20-24 years,2310
Gender and Age Group,Male,25-29 years,2420
Gender and Age Group,Male,30-34 years,2345
Gender and Age Group,Male,35-39 years,2225
Gender and Age Group,Male,40-44 years,2150
Gender and Age Group,Male,45-49 years,2205
Gender and Age Group,Male,50-54 years,2210
Gender and Age Group,Male,55-59 years,2225
Gender and Age Group,Male,60-64 years,1890
Gender and Age Group,Male,65-69 years,1810
Gender and Age Group,Male,70-74 years,2030
Gender and Age Group,Male,75-79 years,1920
Gender and Age Group,Male,80-84 years,2000
Gender and Age Group,Male,85-89 years,1385
Gender and Age Group,Male,90-94 years,760
Gender and Age Group,Male,95 years or older,165
Gender and Age Group,Female,0 years,195148
Gender and Age Group,Female,01-04 years,511966
Gender and Age Group,Female,05-09 years,325684
Gender and Age Group,Female,10-14 years,351958
Gender and Age Group,Female,15-19 years,447075
Gender and Age Group,Female,20-24 years,540034
Gender and Age Group,Female,25-29 years,594314
Gender and Age Group,Female,30-34 years,596080
Gender and Age Group,Female,35-39 years,539432
Gender and Age Group,Female,40-44 years,443089
Gender and Age Group,Female,45-49 years,471273
Gender and Age Group,Female,50-54 years,547372
Gender and Age Group,Female,55-59 years,482902
Gender and Age Group,Female,60-64 years,438975
Gender and Age Group,Female,65-69 years,428053
Gender and Age Group,Female,70-74 years,502169
Gender and Age Group,Female,75-79 years,528671
Gender and Age Group,Female,80-84 years,591588
Gender and Age Group,Female,85-89 years,540748
Gender and Age Group,Female,90-94 years,392346
Gender and Age Group,Female,95 years or older,153242
Gender and Age Group,Male,0 years,252634
Gender and Age Group,Male,01-04 years,686386
Gender and Age Group,Male,05-09 years,407310
Gender and Age Group,Male,10-14 years,449882
Gender and Age Group,Male,15-19 years,396963
Gender and Age Group,Male,20-24 years,450281
Gender and Age Group,Male,25-29 years,454785
Gender and Age Group,Male,30-34 years,450128
Gender and Age Group,Male,35-39 years,435583
Gender and Age Group,Male,40-44 years,425891
Gender and Age Group,Male,45-49 years,437761
Gender and Age Group,Male,50-54 years,461787
Gender and Age Group,Male,55-59 years,477232
Gender and Age Group,Male,60-64 years,427371
Gender and Age Group,Male,65-69 years,428310
Gender and Age Group,Male,70-74 years,494701
Gender and Age Group,Male,75-79 years,498260
Gender and Age Group,Male,80-84 years,553087
Gender and Age Group,Male,85-89 years,384732
Gender and Age Group,Male,90-94 years,230647
Gender and Age Group,Male,95 years or older,50922
Gender and Age Group,Female,0 years,1960
Gender and Age Group,Female,01-04 years,5185
Gender and Age Group,Female,05-09 years,3835
Gender and Age Group,Female,10-14 years,4435
Gender and Age Group,Female,15-19 years,5235
Gender and Age Group,Female,20-24 years,6270
Gender and Age Group,Female,25-29 years,6480
Gender and Age Group,Female,30-34 years,6055
Gender and Age Group,Female,35-39 years,5395
Gender and Age Group,Female,40-44 years,4220
Gender and Age Group,Female,45-49 years,4580
Gender and Age Group,Female,50-54 years,4815
Gender and Age Group,Female,55-59 years,4410
Gender and Age Group,Female,60-64 years,3760
Gender and Age Group,Female,65-69 years,3370
Gender and Age Group,Female,70-74 years,3780
Gender and Age Group,Female,75-79 years,3295
Gender and Age Group,Female,80-84 years,3390
Gender and Age Group,Female,85-89 years,2775
Gender and Age Group,Female,90-94 years,1620
Gender and Age Group,Female,95 years or older,545
Gender and Age Group,Female,Unknown,10
Gender and Age Group,Male,0 years,2335
Gender and Age Group,Male,01-04 years,6930
Gender and Age Group,Male,05-09 years,4855
Gender and Age Group,Male,10-14 years,5235
Gender and Age Group,Male,15-19 years,5065
Gender and Age Group,Male,20-24 years,5835
Gender and Age Group,Male,25-29 years,6300
Gender and Age Group,Male,30-34 years,5980
Gender and Age Group,Male,35-39 years,5400
Gender and Age Group,Male,40-44 years,4730
Gender and Age Group,Male,45-49 years,4815
Gender and Age Group,Male,50-54 years,4795
Gender and Age Group,Male,55-59 years,4530
Gender and Age Group,Male,60-64 years,3860
Gender and Age Group,Male,65-69 years,3480
Gender and Age Group,Male,70-74 years,3790
Gender and Age Group,Male,75-79 years,3325
Gender and Age Group,Male,80-84 years,2835
Gender and Age Group,Male,85-89 years,1955
Gender and Age Group,Male,90-94 years,915
Gender and Age Group,Male,95 years or older,245
Gender and Age Group,Male,Unknown,15
Gender and Age Group,Female,0 years,363870
Gender and Age Group,Female,01-04 years,879549
Gender and Age Group,Female,05-09 years,572849
Gender and Age Group,Female,10-14 years,657252
Gender and Age Group,Female,15-19 years,790347
Gender and Age Group,Female,20-24 years,958776
Gender and Age Group,Female,25-29 years,1014526
Gender and Age Group,Female,30-34 years,948941
Gender and Age Group,Female,35-39 years,862108
Gender and Age Group,Female,40-44 years,695546
Gender and Age Group,Female,45-49 years,788268
Gender and Age Group,Female,50-54 years,833004
Gender and Age Group,Female,55-59 years,817738
Gender and Age Group,Female,60-64 years,787819
Gender and Age Group,Female,65-69 years,730297
Gender and Age Group,Female,70-74 years,894743
Gender and Age Group,Female,75-79 years,834332
Gender and Age Group,Female,80-84 years,914778
Gender and Age Group,Female,85-89 years,806941
Gender and Age Group,Female,90-94 years,495307
Gender and Age Group,Female,95 years or older,184685
Gender and Age Group,Female,Unknown,1368
Gender and Age Group,Male,0 years,416215
Gender and Age Group,Male,01-04 years,1197514
Gender and Age Group,Male,05-09 years,757187
Gender and Age Group,Male,10-14 years,796711
Gender and Age Group,Male,15-19 years,756609
Gender and Age Group,Male,20-24 years,877739
Gender and Age Group,Male,25-29 years,952878
Gender and Age Group,Male,30-34 years,929362
Gender and Age Group,Male,35-39 years,867680
Gender and Age Group,Male,40-44 years,771743
Gender and Age Group,Male,45-49 years,823073
Gender and Age Group,Male,50-54 years,844283
Gender and Age Group,Male,55-59 years,831154
Gender and Age Group,Male,60-64 years,786763
Gender and Age Group,Male,65-69 years,775941
Gender and Age Group,Male,70-74 years,942074
Gender and Age Group,Male,75-79 years,873013
Gender and Age Group,Male,80-84 years,776923
Gender and Age Group,Male,85-89 years,547827
Gender and Age Group,Male,90-94 years,280658
Gender and Age Group,Male,95 years or older,82374
Gender and Age Group,Male,Unknown,1734
Gender and Age Group,Female,0 years,1040
Gender and Age Group,Female,01-04 years,3380
Gender and Age Group,Female,05-09 years,2455
Gender and Age Group,Female,10-14 years,3185
Gender and Age Group,Female,15-19 years,4235
Gender and Age Group,Female,20-24 years,4500
Gender and Age Group,Female,25-29 years,4385
Gender and Age Group,Female,30-34 years,3740
Gender and Age Group,Female,35-39 years,3195
Gender and Age Group,Female,40-44 years,2605
Gender and Age Group,Female,45-49 years,3215
Gender and Age Group,Female,50-54 years,3605
Gender and Age Group,Female,55-59 years,3355
Gender and Age Group,Female,60-64 years,2800
Gender and Age Group,Female,65-69 years,2830
Gender and Age Group,Female,70-74 years,3375
Gender and Age Group,Female,75-79 years,3490
Gender and Age Group,Female,80-84 years,3425
Gender and Age Group,Female,85-89 years,3060
Gender and Age Group,Female,90-94 years,1925
