code,description,sex,diagnosis_count,category
G30-G32,Other degenerative diseases (incl. Alzheimer).,Male,6932,Diseases of the nervous (G00–G99)
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,Male,19352,Diseases of the nervous (G00–G99)
G40-G47,Episodic and paroxysmal disorders,Male,74725,Diseases of the nervous (G00–G99)
G50-G59,"Nerve, nerve root and plexus disorders",Male,31304,Diseases of the nervous (G00–G99)
G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,Male,24693,Diseases of the nervous (G00–G99)
G70-G73,Diseases of myoneural junction and muscle,Male,6159,Diseases of the nervous (G00–G99)
G80-G83,Cerebral palsy & other paralytic syndromes,Male,8411,Diseases of the nervous (G00–G99)
G90-G99,Other diseases & disorders of the nervous syst.,Male,16617,Diseases of the nervous (G00–G99)
H00-H06,"Disorders of eyelid, lacrimal system and orbit",Male,24934,Diseases of the eye and adnexa (H00–H59)
H10-H13,Disorders of conjunctiva (including conjunctivitis),Male,3352,Diseases of the eye and adnexa (H00–H59)
H15-H22,"Disorders of sclera, cornea, iris and ciliary body",Male,8957,Diseases of the eye and adnexa (H00–H59)
H25-H28,Disorders of lens (including cataracts),Male,308994,Diseases of the eye and adnexa (H00–H59)
H30-H36,Disorders of choroid and retina,Male,73038,Diseases of the eye and adnexa (H00–H59)
H40-H42,Glaucoma,Male,13816,Diseases of the eye and adnexa (H00–H59)
H43-H45,Disorders of vitreous body and globe,Male,4294,Diseases of the eye and adnexa (H00–H59)
H46-H48,Disorders of optic nerve and visual pathways,Male,1579,Diseases of the eye and adnexa (H00–H59)
H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",Male,6926,Diseases of the eye and adnexa (H00–H59)
H53-H54,Visual disturbances and blindness,Male,4208,Diseases of the eye and adnexa (H00–H59)
H55-H59,Other disorders of eye and adnexa,Male,3358,Diseases of the eye and adnexa (H00–H59)
H60-H62,Diseases of external ear,Male,7656,Diseases of the ear and mastoid process (H60–H95)
H65-H75,Diseases of middle ear and mastoid,Male,18812,Diseases of the ear and mastoid process (H60–H95)
H80-H83,Diseases of inner ear,Male,7166,Diseases of the ear and mastoid process (H60–H95)
H90-H95,Other disorders of ear,Male,4897,Diseases of the ear and mastoid process (H60–H95)
I00-I02,Acute rheumatic fever,Male,52,Diseases of the circulatory system (I00–I99)
I05-I09,Chronic rheumatic heart diseases,Male,10706,Diseases of the circulatory system (I00–I99)
I10-I15,Hypertensive diseases,Male,26523,Diseases of the circulatory system (I00–I99)
I20-I25,Ischaemic heart diseases,Male,244381,Diseases of the circulatory system (I00–I99)
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,Male,36912,Diseases of the circulatory system (I00–I99)
I30-I52,Other forms of heart disease,Male,328884,Diseases of the circulatory system (I00–I99)
I60-I69,Cerebrovascular diseases,Male,125961,Diseases of the circulatory system (I00–I99)
I70-I79,"Diseases of arteries, arterioles & capillaries",Male,51139,Diseases of the circulatory system (I00–I99)
I80-I89,Diseases of veins & lymphatic system nec.,Male,90562,Diseases of the circulatory system (I00–I99)
I95-I99,Other & unspecified disorders of the circulatory system,Male,5728,Diseases of the circulatory system (I00–I99)
J00-J06,Acute upper respiratory infections,Male,68079,Diseases of the respiratory system (J00–J99)
J09-J18,Influenza & pneumonia,Male,310456,Diseases of the respiratory system (J00–J99)
J20-J22,Other acute lower respiratory infections,Male,122441,Diseases of the respiratory system (J00–J99)
J30-J39,Other diseases of upper respiratory tract,Male,56132,Diseases of the respiratory system (J00–J99)
J40-J47,Chronic lower respiratory diseases,Male,156936,Diseases of the respiratory system (J00–J99)
J60-J70,Lung diseases due to external agents,Male,47862,Diseases of the respiratory system (J00–J99)
J80-J84,Other respiratory diseases principally affecting the interstitium,Male,15849,Diseases of the respiratory system (J00–J99)
J85-J86,Suppurative and necrotic conditions of lower respiratory tract,Male,8321,Diseases of the respiratory system (J00–J99)
J90-J94,Other diseases of pleura,Male,38392,Diseases of the respiratory system (J00–J99)
J95-J99,Other diseases of the respiratory system,Male,23703,Diseases of the respiratory system (J00–J99)
K00-K14,"Diseases of oral cavity, salivary glands & jaws",Male,91290,Diseases of the digestive system (K00–K93)
K20-K31,"Diseases of oesophagus, stomach & duodenum",Male,244242,Diseases of the digestive system (K00–K93)
